index,index,HDFC.NS,TCS.NS,RELIANCE.NS,SBIN.NS,TATAMOTORS.NS
zip,zip,400020,400001,400021,400021,400018
sector,sector,Financial Services,Technology,Energy,Financial Services,Consumer Cyclical
fullTimeEmployees,fullTimeEmployees,3599,592195,236334,244250,
longBusinessSummary,longBusinessSummary,"Housing Development Finance Corporation Limited provides housing finance to individuals and corporate customers in India. It operates through Loans, Life Insurance, General Insurance, Asset Management, and Others segments. The company accepts fixed deposits, such as monthly income plans, non-cumulative interest plans, annual income plans, and cumulative options; and trust deposits. It offers loans for the purchase and construction of houses; home renovation and extension, plot, and top-up loans; loans to agriculturists, planters, horticulturists, and dairy farmers; loans for the salaried/self-employed individuals; loans for non-resident Indians; loans against property; and commercial property and plots loans, as well as education loans. In addition, the company provides cross-selling products and services; investment advisory services; life insurance products; general insurance products, including motor, health, travel, crop, home, personal accident, property, marine, aviation, and liability insurance; venture capital funds; asset management services comprising portfolio management, mutual fund, and property investment management; and other services consisting of project management and investment consultancy services. As of March 31, 2022, it operated through a network of 672 offices; and 3 offices in Dubai, London, and Singapore. The company was incorporated in 1977 and is based in Mumbai, India.","Tata Consultancy Services Limited provides information technology (IT) and IT enabled services worldwide. The company operates through Banking, Financial Services and Insurance; Manufacturing; Retail and Consumer Business; Communication, Media and Technology; Life Sciences and Healthcare; and Others segments. It offers CHROMA, a cloud-based talent management solution; ignio, a cognitive automation software; TCS iON, an assessment platform; TAP, a procurement offering; TCS MasterCraft, a platform to automate and manage IT processes; Quartz, a blockchain solution; and TCS OmniStore, a commerce platform. The company also provides customer intelligence and insight solutions; Intelligent Urban Exchange, a smart city solution; OPTUMERA, a merchandise optimization platform; TwinX, an AI powered system of actionable intelligence for business leaders to simulate and optimize enterprise decisions; TCS BaNCS, a financial platform; and Jile, an agile DevOps platform. In addition, it offers drug development and connected intelligent platforms; ERP on cloud, an enterprise solution; and HOBS, a platform for subscription based digital business. Further, the company provides cognitive business, consulting, analytics and insights, automation and artificial intelligence, Internet of Things, cloud, blockchain, cyber security, interactive, digital and quality engineering, sustainability, and enterprise application services. It serves banking, financial, and public services; capital market; consumer goods and distribution; education; insurance; life sciences and healthcare; manufacturing, retail; hi-tech; travel, transportation, and hospitality industries; communications, media, and technology industries; and energy, resource, and utility industries. The company was founded in 1968 and is headquartered in Mumbai, India. Tata Consultancy Services Limited is a subsidiary of Tata Sons Private Limited.","Reliance Industries Limited engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, textile, retail, digital, and financial services businesses worldwide. The company produces and markets petroleum products, such as liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosene oil, diesel, Sulphur, and petroleum coke. It also provides petrochemicals, including high-density and low-density polyethylene (PE), linear low density PE, polyester fibers and yarns, polypropylene, polyvinyl chloride, polyester yarn, purified terephthalic acid, ethylene glycols and oxide, paraxylene, ortho xylene, benzene, linear alkyl benzene and paraffin, poly butadiene rubber, styrene butadiene rubber, butyl rubber, and polyethylene terephthalate. In addition, the company manufactures and markets yarns, fabrics, apparel, and auto furnishings; explores, develops, and produces crude oil and natural gas; and operates various stores comprising neighborhood, supermarket, hypermarket, wholesale cash and carry, specialty, online, pharmacy, and grocery stores, as well as stores that offer apparel, beauty and cosmetics, accessories, footwear, consumer electronics, connectivity products, and others. As of March 31, 2021, it operated 12,711 retail stores. Further, it provides range of digital services under the Jio brand name; and non-banking financial and insurance broking services. Further, it operates news and entertainment platforms, finance portals, fashion and lifestyle portals, and online ticket booking platforms, as well as Network18 and television channels; publishes magazines; and offers highway hospitality and fleet management services. The company was incorporated in 1973 and is based in Mumbai, India.","State Bank of India provides various banking products and services to individuals, commercial enterprises, corporates, public bodies, and institutional customers in India and internationally. The company operates through Treasury, Corporate/Wholesale Banking, Retail Banking, Insurance Business, and Other Banking Business segments. It offers personal banking products and services, including current accounts, savings accounts, salary accounts, fixed and recurring deposits, and flexi and annual deposits; home, personal, auto, education, and gold loans, as well as loans against property and securities; overdrafts; mutual funds, insurance, equity trading, portfolio investment schemes, remittance services; and mobile and digital banking services. The company also provides corporate banking products and services comprising corporate accounts, working capital and project finance, deferred payment guarantees, corporate term loans, structured finance, dealer and channel financing, equipment leasing, loan syndication, construction equipment loans, financing Indian firms' overseas subsidiaries or JVs, cash management, and asset backed loans, as well as trade and service products. In addition, it offers NRI services, including accounts and deposits, remittances, investments, and loans; agricultural banking and micro credit to agriculturists and farmers; supply chain finance, and deposits and transaction banking services for SME customers; and international banking services. Further, the company provides treasury, broking, bill payment, and MICR services; and merchant banking, advisory, securities broking, business & management consultancy, trustee business, factoring, payment, asset management, investment management, credit cards, and custody and fund accounting services. As of March 31, 2022, it operated 22,266 branches and 65,030 ATMs. The company was founded in 1806 and is headquartered in Mumbai, India.","Tata Motors Limited designs, develops, manufactures, and sells various automotive vehicles. The company offers passenger cars; utility vehicles; intermediate and light commercial vehicles; small, medium, and heavy commercial vehicles; defense vehicles; pickups, wingers, buses, and trucks; and electric vehicles, as well as related spare parts and accessories. It also manufactures engines for industrial and marine applications; aggregates comprising axles and transmissions for commercial vehicles; and factory automation equipment, as well as provides information technology and vehicle financing services. The company offers its products under the Tata, Daewoo, Fiat, Jaguar, and Land Rover brands. It operates in India, China, the United States, the United Kingdom, rest of Europe, and internationally. The company was formerly known as Tata Engineering and Locomotive Company Limited and changed its name to Tata Motors Limited in July 2003. Tata Motors Limited was incorporated in 1945 and is headquartered in Mumbai, India."
city,city,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai
phone,phone,91 22 6631 6000,91 22 6778 9595,91 22 3555 5000,91 22 2274 0841,91 22 6757 7200
country,country,India,India,India,India,India
companyOfficers,companyOfficers,[],[],[],[],[]
website,website,https://www.hdfc.com,https://www.tcs.com,https://www.ril.com,https://www.sbi.co.in,https://www.tatamotors.com
maxAge,maxAge,1,1,1,1,1
address1,address1,HDFC House,TCS House,Maker Chambers IV,State Bank Bhavan,Shivasagar Estate
fax,fax,91 22 2204 6834,,91 22 2204 2268,91 22 2285 5348,
industry,industry,Mortgage Finance,Information Technology Services,Oil & Gas Refining & Marketing,Banks—Regional,Auto Manufacturers
address2,address2,"H T Parekh Marg 165-166, Backbay Reclamation Churchgate",Raveline Street Fort,3rd Floor 222 Nariman Point,"14th Floor Corporate Centre Madame Cama Road, Nariman Point",A Block Dr. Annie Besant Road Worli
ebitdaMargins,ebitdaMargins,0,0.26850998,0.15483,0,0.100080006
profitMargins,profitMargins,0.21177,0.19988,0.089899994,0.16787,-0.04109
grossMargins,grossMargins,0,0.43304002,0.32514,0,0.40683997
operatingCashflow,operatingCashflow,-440279105536,399489990656,,-3143845019648,142828306432
revenueGrowth,revenueGrowth,-0.023,0.158,0.57,0.005,-0.12
operatingMargins,operatingMargins,0.18090999,0.25264,0.1137,0.17253,0.01089
ebitda,ebitda,,514880012288,994277523456,,278668509184
targetLowPrice,targetLowPrice,1514,2742,1350,506,
recommendationKey,recommendationKey,buy,hold,buy,strong_buy,none
grossProfits,grossProfits,1066371600000,830370000000,1722910000000,2107195972000,1132875900000
freeCashflow,freeCashflow,,403964985344,,,5604624896
targetMedianPrice,targetMedianPrice,2163,4030,2280,626,
currentPrice,currentPrice,2179.8,3359.9,2714.25,461.85,428.05
earningsGrowth,earningsGrowth,0.203,0.075,0.393,0.56,
currentRatio,currentRatio,,2.557,,,0.975
returnOnAssets,returnOnAssets,0.02678,0.22241,,0.0072899996,0.00562
numberOfAnalystOpinions,numberOfAnalystOpinions,38,43,29,43,
targetMeanPrice,targetMeanPrice,2115.61,3936.53,2272.1,632.42,
debtToEquity,debtToEquity,,8.701,31.21,,299.902
returnOnEquity,returnOnEquity,0.13422,0.43456,,0.12354,-0.21406999
targetHighPrice,targetHighPrice,2380,5000,2830,750,
totalCash,totalCash,1138196217856,482570010624,2197629960192,1627859058688,633784107008
totalDebt,totalDebt,3538277892096,78179999744,2639180070912,4493784645632,1464490262528
totalRevenue,totalRevenue,1066945871872,1917539975168,6421619933184,2107195916288,2784536297472
totalCashPerShare,totalCashPerShare,627.787,131.884,332.683,182.401,165.516
financialCurrency,financialCurrency,INR,INR,INR,INR,INR
revenuePerShare,revenuePerShare,590.125,518.418,987.63,236.111,735.171
quickRatio,quickRatio,,2.273,,,0.652
recommendationMean,recommendationMean,1.9,2.6,2.1,1.4,
exchange,exchange,NSI,NSI,NSI,NSI,NSI
shortName,shortName,HOUSING DEVEL FIN,TATA CONSULTANCY S,RELIANCE INDS,STATE BK OF INDIA,TATA MOTORS LTD.
longName,longName,Housing Development Finance Corporation Limited,Tata Consultancy Services Limited,Reliance Industries Limited,State Bank of India,Tata Motors Limited
exchangeTimezoneName,exchangeTimezoneName,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata,Asia/Kolkata
exchangeTimezoneShortName,exchangeTimezoneShortName,IST,IST,IST,IST,IST
isEsgPopulated,isEsgPopulated,False,False,False,False,False
gmtOffSetMilliseconds,gmtOffSetMilliseconds,19800000,19800000,19800000,19800000,19800000
quoteType,quoteType,EQUITY,EQUITY,EQUITY,EQUITY,EQUITY
symbol,symbol,HDFC.NS,TCS.NS,RELIANCE.NS,SBIN.NS,TATAMOTORS.NS
messageBoardId,messageBoardId,finmb_134291,finmb_6411769,finmb_878373,finmb_874487,finmb_874652
market,market,in_market,in_market,in_market,in_market,in_market
annualHoldingsTurnover,annualHoldingsTurnover,,,,,
enterpriseToRevenue,enterpriseToRevenue,6.073,6.204,2.855,3.369,0.902
beta3Year,beta3Year,,,,,
enterpriseToEbitda,enterpriseToEbitda,,23.106,18.441,,9.016
52WeekChange,52WeekChange,-0.14154065,0.025500894,0.2090739,0.07319629,0.20255649
morningStarRiskRating,morningStarRiskRating,,,,,
forwardEps,forwardEps,58.65,132.99,71.85,56.26,
revenueQuarterlyGrowth,revenueQuarterlyGrowth,,,,,
sharesOutstanding,sharesOutstanding,1814230016,3659049984,6765989888,8924609536,3320910080
fundInceptionDate,fundInceptionDate,,,,,
annualReportExpenseRatio,annualReportExpenseRatio,,,,,
totalAssets,totalAssets,,,,,
bookValue,bookValue,992.004,243.612,1132.233,342.41,144.292
sharesShort,sharesShort,,,,,
sharesPercentSharesOut,sharesPercentSharesOut,,,,,
fundFamily,fundFamily,,,,,
lastFiscalYearEnd,lastFiscalYearEnd,1648684800,1648684800,1617148800,1648684800,1648684800
heldPercentInstitutions,heldPercentInstitutions,0.61712,0.15612,0.25726998,0.26302,0.19332
netIncomeToCommon,netIncomeToCommon,225946894336,383269994496,540959997952,353738784768,-114414698496
trailingEps,trailingEps,123.65,103.619,87.323,39.636,-29.88
lastDividendValue,lastDividendValue,30,22,7,7.1,0.2
SandP52WeekChange,SandP52WeekChange,-0.08326143,-0.08326143,-0.08326143,-0.08326143,-0.08326143
priceToBook,priceToBook,2.19737,13.792013,2.3972538,1.3488216,2.9665537
heldPercentInsiders,heldPercentInsiders,0.00903,0.72318,0.49661,0.57942003,0.47751
