Date,High,Low,Open,Close,Volume,Adj Close,Prev Close,change
2010-01-04,230.0,227.5,227.5,229.12,11031470.0,199.52,,
2010-01-05,231.0,228.01,230.8,229.205,11613740.0,199.5941,229.12,0.0371
2010-01-06,231.5,228.5,229.7,230.58,14527930.0,200.7914,229.205,0.5999
2010-01-07,231.0,228.11,230.6,229.29,8576510.0,199.6681,230.58,-0.5595
2010-01-08,230.39,228.01,229.4,228.605,10453820.0,199.0716,229.29,-0.2987
2010-01-11,231.27,226.325,229.7,226.72,14145340.0,197.4301,228.605,-0.8246
2010-01-12,227.0,219.62,226.7,220.32,22917720.0,191.8569,226.72,-2.8229
2010-01-13,219.5,215.81,219.5,217.59,21719690.0,189.4796,220.32,-1.2391
2010-01-14,219.9,214.555,218.8,215.735,20723990.0,187.8643,217.59,-0.8525
2010-01-15,217.84,213.68,216.8,214.335,20611920.0,186.6451,215.735,-0.6489
2010-01-18,218.305,214.28,217.5,215.64,19222170.0,187.7815,214.335,0.6089
2010-01-19,218.7,215.7,216.98,217.31,12277070.0,189.2358,215.64,0.7744
2010-01-20,218.66,215.255,218.4,215.985,16830720.0,188.082,217.31,-0.6097
2010-01-21,216.13,211.23,215.9,212.41,19265470.0,184.9688,215.985,-1.6552
2010-01-22,210.65,205.305,210.015,208.735,27193180.0,181.7686,212.41,-1.7301
2010-01-25,213.7,205.555,205.555,209.16,15378040.0,182.1387,208.735,0.2036
2010-01-27,206.84,197.11,206.0,198.765,38068910.0,173.0866,209.16,-4.9699
2010-01-28,210.0,199.1,210.0,200.325,27952460.0,174.4451,198.765,0.7848
2010-01-29,206.74,195.505,199.0,205.66,46487190.0,179.0908,200.325,2.6632
2010-02-01,214.8,201.55,214.8,202.125,22047160.0,176.0125,205.66,-1.7189
2010-02-02,204.52,197.415,203.02,197.835,24086260.0,172.2767,202.125,-2.1224
2010-02-03,201.59,198.35,198.63,199.88,30450710.0,174.0576,197.835,1.0337
