Date,Open,High,Low,Close,Adj Close,Volume,Prev Close,change
2007-01-02,172.87,178.983,171.5381,178.1206,156.4771,4397705,,
2007-01-03,179.1363,184.3486,179.1363,179.7974,157.9502,12146833,178.1206,0.9414
2007-01-04,187.798,189.4077,180.3244,181.4933,159.44,9239625,179.7974,0.9432
2007-01-05,182.0491,183.0072,178.0919,179.6345,157.8071,7578079,181.4933,-1.0242
2007-01-08,179.1746,180.861,172.4675,177.929,156.3088,8149058,179.6345,-0.9494
2007-01-09,178.0248,178.983,172.8508,174.5946,153.3796,6023636,177.929,-1.874
2007-01-10,174.173,176.1085,171.5381,174.0868,152.9335,8956607,174.5946,-0.2909
2007-01-11,174.3839,176.6834,172.8604,175.984,154.6001,6246930,174.0868,1.0898
2007-01-12,176.4918,181.0717,175.0162,180.3627,158.4468,8533762,175.984,2.4882
2007-01-15,182.0012,182.4707,178.8297,181.7616,159.6757,4991739,180.3627,0.7756
2007-01-16,182.0491,184.2337,181.2059,183.4959,161.1992,4501937,181.7616,0.9541
2007-01-17,184.8085,186.744,181.4742,184.8756,162.4113,6234427,183.4959,0.7519
2007-01-18,186.8398,186.8398,180.6118,182.9018,160.6774,4936132,184.8756,-1.0676
2007-01-19,183.563,184.866,178.2165,182.1832,160.0461,7486262,182.9018,-0.3929
2007-01-22,183.0072,185.6709,180.1807,184.5978,162.1672,9403581,182.1832,1.3253
2007-01-23,184.9235,185.8434,181.0909,182.1353,160.004,3187439,184.5978,-1.334
2007-01-24,183.0072,183.7354,173.7323,175.5432,154.2129,10491951,182.1353,-3.6193
2007-01-25,182.8156,185.6517,175.342,177.7661,156.1657,7573837,175.5432,1.2663
2007-01-29,177.6416,178.0152,171.7298,172.3621,151.4184,6033431,177.7661,-3.0399
2007-01-31,174.3839,178.2165,166.3354,168.3092,147.8578,6819338,172.3621,-2.3514
2007-02-01,170.3213,174.3839,169.229,173.6844,152.5799,3286374,168.3092,3.1937
2007-02-02,176.2618,176.7792,173.2341,174.3551,153.1691,4498770,173.6844,0.3862
2007-02-05,175.1504,176.8367,171.5477,176.1181,154.7179,4885326,174.3551,1.0112
2007-02-06,176.875,177.8332,174.0006,176.3097,154.8863,3160539,176.1181,0.1088
2007-02-07,176.4726,176.6642,171.931,172.9083,151.8981,4691432,176.3097,-1.9292
2007-02-08,174.7671,178.2165,170.7812,171.8543,150.9723,3914040,172.9083,-0.6096
2007-02-09,171.8543,174.5755,169.6122,173.4353,152.3611,4583902,171.8543,0.9199
2007-02-12,178.2165,178.2165,165.3772,167.6864,147.3107,8906182,173.4353,-3.3147
2007-02-13,167.4851,173.052,162.886,166.0958,145.9135,5986173,167.6864,-0.9485
2007-02-14,167.4851,167.4851,159.6283,162.9243,143.1273,14323291,166.0958,-1.9094
2007-02-15,166.7186,170.5512,163.2693,166.5845,146.3427,11121663,162.9243,2.2465
2007-02-19,168.6349,170.3596,165.7605,166.6803,146.4269,3008016,166.5845,0.0575
2007-02-20,166.527,167.2839,162.886,164.0358,144.1037,3302948,166.6803,-1.5866
2007-02-21,164.0358,167.1019,163.2693,164.5819,144.5835,4584273,164.0358,0.3329
2007-02-22,164.8023,165.9713,158.4785,159.9732,140.5348,7681168,164.5819,-2.8003
2007-02-23,162.0237,162.0237,152.3463,156.5622,137.5383,8937257,159.9732,-2.1322
2007-02-26,157.1371,162.6561,152.5763,160.8835,141.3345,5110535,156.5622,2.7601
2007-02-27,161.6404,162.6656,156.2077,157.7791,138.6073,3178083,160.8835,-1.9296
2007-02-28,153.3045,155.2208,144.7482,149.9701,131.7472,10528793,157.7791,-4.9493
2007-03-01,153.4961,155.9681,146.9998,151.2061,132.833,10387198,149.9701,0.8242
2007-03-02,152.3463,152.3463,148.1304,148.5904,130.5351,8387861,151.2061,-1.7299
2007-03-05,148.3412,149.2802,139.5071,141.7875,124.5588,10832915,148.5904,-4.5783
2007-03-06,142.9564,147.1148,137.4087,139.2388,122.3199,15055335,141.7875,-1.7975
2007-03-07,143.2439,147.1723,136.4601,141.5384,124.34,12134189,139.2388,1.6515
2007-03-08,143.7421,148.5137,142.7648,146.9519,129.0957,11198957,141.5384,3.8248
2007-03-09,148.5041,149.9318,142.784,145.0931,127.4628,5779958,146.9519,-1.2649
2007-03-12,145.1123,148.3221,144.7769,146.5399,128.7338,5192730,145.0931,0.9972
2007-03-13,146.789,149.2227,145.1219,148.1496,130.1479,3683519,146.5399,1.0985
2007-03-14,138.4531,145.6393,135.8182,142.5061,125.1901,8746358,148.1496,-3.8093
2007-03-15,143.7229,146.0992,138.5585,139.1142,122.2104,5200119,142.5061,-2.3802
2007-03-16,140.1011,144.2978,140.1011,143.3876,125.9645,5614541,139.1142,3.0718
2007-03-19,143.9146,148.5041,143.3397,147.8813,129.9122,3248599,143.3876,3.134
2007-03-20,148.37,149.6635,145.7351,147.4118,129.4998,5171199,147.8813,-0.3175
2007-03-21,147.9388,149.2419,145.6872,148.667,130.6024,6456630,147.4118,0.8515
2007-03-22,149.6635,155.4124,149.2994,154.2818,135.535,6740515,148.667,3.7767
2007-03-23,154.4543,154.4543,150.2384,151.3019,132.9172,6502954,154.2818,-1.9314
2007-03-26,142.7648,151.5606,142.7648,144.2116,126.6884,12843084,151.3019,-4.6862
2007-03-28,143.7229,143.9146,137.2075,137.8974,121.1414,13330313,144.2116,-4.3784
2007-03-29,139.6891,143.4068,133.8731,137.2937,120.6111,21538334,137.8974,-0.4377
2007-03-30,138.5489,140.4652,137.3033,139.5454,122.5892,6832833,137.2937,1.64
2007-04-02,136.2494,136.2494,126.6774,128.565,112.943,15760343,139.5454,-7.8687
2007-04-03,130.2513,131.4298,128.5841,130.5771,114.7106,10731454,128.565,1.5651
2007-04-04,131.4778,132.4072,128.22,130.8454,114.9463,10438129,130.5771,0.2055
2007-04-05,130.3088,133.1354,130.1363,131.4778,115.5019,11951144,130.8454,0.4833
2007-04-09,132.2251,136.0098,132.2251,134.8504,118.4647,6771919,131.4778,2.5652
2007-04-10,136.3452,139.0472,135.7128,138.2711,121.4697,10853496,134.8504,2.5366
2007-04-11,138.2711,140.082,136.7572,138.5106,121.6801,7524325,138.2711,0.1732
2007-04-12,137.7441,137.7824,135.4924,136.5176,119.9293,7159874,138.5106,-1.4388
2007-04-13,136.8434,139.4113,134.9079,139.1813,122.2693,8635014,136.5176,1.9512
2007-04-16,140.8485,144.6619,139.8903,143.7709,126.3012,6822657,139.1813,3.2975
2007-04-17,143.9146,145.9267,139.5071,140.0053,122.9932,12872730,143.7709,-2.6191
2007-04-18,136.2973,141.9983,136.2973,138.4531,121.6296,3659201,140.0053,-1.1087
2007-04-19,137.3991,138.3956,134.9463,136.6518,120.0472,7962444,138.4531,-1.301
2007-04-20,138.3573,140.5515,137.9932,138.5298,121.6969,5690599,136.6518,1.3743
2007-04-23,139.8329,140.5994,137.0159,137.6195,120.8973,5306996,138.5298,-0.6571
2007-04-24,139.6604,144.4895,138.9513,142.1133,124.845,10900597,137.6195,3.2653
2007-04-25,143.7421,147.0669,143.7325,145.4572,127.7827,11846531,142.1133,2.353
2007-04-26,148.897,151.3594,143.2439,146.904,129.0537,11053662,145.4572,0.9947
2007-04-27,147.201,148.3987,141.615,143.5984,126.1497,9948118,146.904,-2.2502
2007-04-30,141.8354,145.8309,140.2736,144.0583,126.5537,7451148,143.5984,0.3203
2007-05-03,149.4719,149.4719,139.7179,140.4844,123.4141,11471043,144.0583,-2.4809
2007-05-04,140.6569,142.7073,139.1238,140.1778,123.1447,7133672,140.4844,-0.2183
2007-05-07,140.8485,142.3815,137.7057,139.5646,122.606,9465356,140.1778,-0.4375
2007-05-08,139.5646,140.8485,137.9836,138.9513,122.0673,3752855,139.5646,-0.4394
2007-05-09,139.8903,140.1778,136.6326,138.5968,121.7559,6198884,138.9513,-0.2551
2007-05-10,139.5262,140.6089,136.441,136.9871,120.3418,5171736,138.5968,-1.1614
