Date,Open,High,Low,Close,Adj Close,Volume,Prev Close,change
2007-01-02,307.35,314.5,304.0,312.125,229.0721,1545060,,
2007-01-03,313.25,322.0,309.7875,320.0375,234.8792,4384972,312.125,2.535
2007-01-04,321.25,321.25,312.525,314.7625,231.0078,3970700,320.0375,-1.6482
2007-01-05,316.25,317.15,313.275,315.75,231.7324,2718740,314.7625,0.3137
2007-01-08,314.75,314.75,303.75,310.95,228.2098,4951892,315.75,-1.5202
2007-01-09,311.975,315.4625,306.3125,314.1,230.5216,4020568,310.95,1.013
2007-01-10,311.1375,313.75,307.5,308.85,226.6685,2931428,314.1,-1.6714
2007-01-11,299.725,324.5,299.725,319.4125,234.4205,7400664,308.85,3.4199
2007-01-12,322.5375,332.25,322.5375,330.9875,242.9155,6175748,319.4125,3.6238
2007-01-15,337.5,342.0,325.0125,331.5875,243.3558,12255832,330.9875,0.1813
2007-01-16,347.2375,347.2375,329.75,331.025,242.9431,7625964,331.5875,-0.1696
2007-01-17,332.475,333.75,325.0,326.1625,239.3745,2633828,331.025,-1.4689
2007-01-18,326.25,331.4875,326.25,328.8625,241.3559,2719816,326.1625,0.8278
2007-01-19,328.8625,331.625,323.0375,324.5375,238.1818,2882056,328.8625,-1.3151
2007-01-22,325.025,330.6,322.5125,328.3625,241.5472,3180956,324.5375,1.1786
2007-01-23,328.275,328.4875,325.0,325.675,239.5702,3124152,328.3625,-0.8185
2007-01-24,327.875,328.5,324.5375,326.7875,240.3886,2355148,325.675,0.3416
2007-01-25,331.25,342.25,325.725,328.8625,241.9149,5553976,326.7875,0.635
2007-01-29,328.75,328.75,322.75,324.4375,238.6599,2982324,328.8625,-1.3455
2007-01-31,324.275,328.475,318.0,319.475,235.0094,4865928,324.4375,-1.5296
2007-02-01,322.4875,323.75,318.75,323.0125,237.6117,1859904,319.475,1.1073
2007-02-02,324.75,326.75,323.7625,325.125,239.1657,4274616,323.0125,0.654
2007-02-05,326.25,328.475,323.5,326.45,240.1404,3010736,325.125,0.4075
2007-02-06,328.25,328.475,322.5125,324.6,238.7795,3411964,326.45,-0.5667
2007-02-07,325.0,328.1,323.8,326.575,240.2324,2599984,324.6,0.6084
