Date,Open,High,Low,Close,Adj Close,Volume,Prev Close,change
2007-01-02,326.0,327.94,322.0,323.91,261.5238,188295,,
2007-01-03,324.0,324.0,318.0,321.6,259.6587,837040,323.91,-0.7132
2007-01-04,323.94,323.94,314.0,315.74,254.9273,1460180,321.6,-1.8221
2007-01-05,317.8,327.6,310.62,323.63,261.2977,2144880,315.74,2.4989
2007-01-08,322.71,323.6,315.43,319.01,257.5675,1737910,323.63,-1.4276
2007-01-09,320.0,324.6,303.22,312.48,252.2952,3133870,319.01,-2.047
2007-01-10,312.0,313.0,304.0,305.65,246.7807,1399085,312.48,-2.1857
2007-01-11,313.6,313.6,302.86,304.51,245.8603,1668530,305.65,-0.373
2007-01-12,309.5,318.96,306.27,315.74,254.9273,1502980,304.51,3.6879
2007-01-15,321.8,325.19,316.25,319.3,257.8016,2793865,315.74,1.1275
2007-01-16,319.2,319.21,311.6,311.92,251.8431,1327245,319.3,-2.3113
2007-01-17,310.02,314.0,306.66,309.3,249.7277,3112045,311.92,-0.84
2007-01-18,309.6,323.0,309.6,319.9,258.2861,1820850,309.3,3.4271
2007-01-19,319.9,323.2,318.2,320.03,258.3911,933605,319.9,0.0406
2007-01-22,316.25,323.8,315.2,322.37,260.2803,1621875,320.03,0.7312
2007-01-23,323.76,323.76,318.4,320.51,258.7786,1610255,322.37,-0.577
2007-01-24,321.98,330.22,318.0,328.22,265.0037,1594415,320.51,2.4055
2007-01-25,329.0,340.94,329.0,337.35,272.3752,6100285,328.22,2.7817
2007-01-29,338.02,338.02,330.21,333.91,269.5977,2213655,337.35,-1.0197
2007-01-31,336.0,337.2,328.05,334.77,270.2921,1812460,333.91,0.2576
2007-02-01,334.77,338.11,329.72,334.99,270.4697,906535,334.77,0.0657
2007-02-02,336.2,352.0,333.2,348.73,281.5634,3967310,334.99,4.1016
2007-02-05,345.6,365.6,345.6,364.07,293.9488,3982055,348.73,4.3988
2007-02-06,363.0,365.6,357.7,359.42,290.1945,2258595,364.07,-1.2772
2007-02-07,360.0,362.6,355.07,360.61,291.1552,1337440,359.42,0.3311
2007-02-08,357.62,364.0,352.62,361.39,291.785,1270645,360.61,0.2163
2007-02-09,361.0,365.0,358.2,363.35,293.3675,2576165,361.39,0.5423
2007-02-12,363.46,364.2,342.2,351.79,284.034,2165155,363.35,-3.1815
2007-02-13,349.94,355.54,340.0,344.71,278.3177,3664485,351.79,-2.0126
2007-02-14,344.0,347.28,325.8,336.61,271.7777,3570350,344.71,-2.3498
2007-02-15,338.0,346.99,335.22,338.5,273.3037,1711600,336.61,0.5615
2007-02-19,340.41,344.8,336.41,339.17,273.8446,1360690,338.5,0.1979
2007-02-20,340.0,340.2,329.6,330.6,266.9253,663475,339.17,-2.5268
2007-02-21,331.0,337.96,331.0,334.56,270.1225,1718205,330.6,1.1978
2007-02-22,334.6,340.0,330.0,332.41,268.3866,1929695,334.56,-0.6426
2007-02-23,334.23,335.6,317.04,320.78,258.9966,2280110,332.41,-3.4987
2007-02-26,325.94,325.94,314.0,321.27,259.3922,2728805,320.78,0.1527
2007-02-27,321.92,330.0,316.21,321.19,259.3276,1871730,321.27,-0.0249
2007-02-28,310.0,324.96,289.4,301.45,243.3897,9293045,321.19,-6.1459
2007-03-01,304.0,304.98,294.0,302.27,244.0518,2492605,301.45,0.272
2007-03-02,300.0,316.4,298.01,306.77,247.685,3358635,302.27,1.4887
2007-03-05,300.0,302.94,294.0,299.44,241.7668,2555370,306.77,-2.3894
2007-03-06,296.02,306.96,296.02,298.4,240.927,1183935,299.44,-0.3473
2007-03-07,300.0,310.8,299.18,306.51,247.475,1940440,298.4,2.7178
2007-03-08,308.0,313.0,302.24,309.36,249.7762,798465,306.51,0.9298
2007-03-09,314.0,318.77,304.22,312.73,252.497,1077390,309.36,1.0894
2007-03-12,310.2,323.0,310.0,316.5,255.5409,1564645,312.73,1.2055
2007-03-13,317.15,322.05,315.08,321.06,259.2227,491470,316.5,1.4408
2007-03-14,317.94,319.0,308.32,311.2,251.2618,1306875,321.06,-3.0711
2007-03-15,317.0,317.0,300.05,302.57,244.294,2751105,311.2,-2.7731
2007-03-16,310.0,314.76,299.2,300.83,242.8891,1671775,302.57,-0.5751
2007-03-19,302.8,309.95,301.0,306.82,247.7254,942210,300.83,1.9912
2007-03-20,310.0,315.58,308.8,313.45,253.0784,980120,306.82,2.1609
2007-03-21,315.4,317.6,305.0,309.1,249.5662,1702035,313.45,-1.3878
2007-03-22,313.2,316.8,310.02,314.8,254.1684,1312675,309.1,1.8441
2007-03-23,315.0,322.4,312.02,318.78,257.3818,2060925,314.8,1.2643
2007-03-26,318.78,322.2,311.4,314.81,254.1765,1627450,318.78,-1.2454
2007-03-28,315.8,315.8,300.23,303.68,245.1902,2484695,314.81,-3.5355
2007-03-29,307.99,315.82,303.8,307.57,248.3309,4618185,303.68,1.281
2007-03-30,307.18,307.99,300.25,303.96,245.4162,1574185,307.57,-1.1737
2007-04-02,294.0,298.8,284.2,286.95,231.6824,6204610,303.96,-5.5961
2007-04-03,281.12,290.0,280.0,285.33,230.3744,3762050,286.95,-0.5646
2007-04-04,290.0,300.0,287.0,299.38,241.7184,4015055,285.33,4.9241
2007-04-05,300.0,306.78,297.2,305.42,246.595,1659235,299.38,2.0175
2007-04-09,306.6,312.89,306.6,311.44,251.4555,1306865,305.42,1.9711
2007-04-10,313.0,323.0,309.01,321.39,259.4891,2808505,311.44,3.1948
2007-04-11,322.8,322.8,313.4,316.37,255.436,1753655,321.39,-1.562
2007-04-12,315.0,315.0,303.6,307.85,248.5569,3647260,316.37,-2.693
2007-04-13,310.0,314.54,305.0,312.61,252.4002,2805835,307.85,1.5462
2007-04-16,315.8,319.8,313.08,315.19,254.4832,2229380,312.61,0.8253
2007-04-17,319.0,320.0,312.6,316.33,255.4037,1021080,315.19,0.3617
2007-04-18,318.0,323.89,316.62,318.61,257.2446,1265665,316.33,0.7208
2007-04-19,312.4,314.98,310.2,312.38,252.2145,2219500,318.61,-1.9554
2007-04-20,312.46,333.98,312.46,330.11,266.5296,4182650,312.38,5.6758
2007-04-23,337.8,339.01,330.2,333.51,269.2748,1599570,330.11,1.03
2007-04-24,330.98,348.6,328.05,342.24,276.3233,3610705,333.51,2.6176
2007-04-25,350.0,353.0,342.04,351.12,283.493,3087860,342.24,2.5947
2007-04-26,352.0,357.6,340.25,347.54,280.6025,2756160,351.12,-1.0196
2007-04-27,346.96,346.96,336.2,337.3,272.3348,902805,347.54,-2.9464
2007-04-30,335.26,338.6,326.0,333.27,269.081,1025660,337.3,-1.1948
2007-05-03,334.0,341.78,330.25,335.89,271.1964,1735915,333.27,0.7862
2007-05-04,337.0,341.4,325.22,326.68,263.7603,2626170,335.89,-2.742
2007-05-07,329.2,333.94,323.2,325.79,263.0416,1015815,326.68,-0.2724
2007-05-08,325.0,329.0,320.0,320.82,259.0289,1273825,325.79,-1.5255
2007-05-09,320.8,320.8,312.23,318.35,257.0346,2569815,320.82,-0.7699
2007-05-10,320.0,339.0,318.02,336.69,271.8423,4105265,318.35,5.761
2007-05-11,320.0,333.56,306.38,330.93,267.1917,1205085,336.69,-1.7108
2007-05-14,334.8,340.0,332.04,335.18,270.6231,1462715,330.93,1.2843
2007-05-15,336.75,341.76,330.51,334.34,269.9449,1661395,335.18,-0.2506
2007-05-16,337.98,340.0,333.32,339.62,274.208,1343460,334.34,1.5792
2007-05-17,340.4,348.93,340.02,342.19,276.283,1762420,339.62,0.7567
2007-05-18,342.6,342.8,336.2,340.48,274.9023,1083085,342.19,-0.4997
2007-05-21,344.0,347.18,340.8,343.63,277.4457,1232450,340.48,0.9252
2007-05-22,331.31,379.98,331.31,358.56,289.5001,3807715,343.63,4.3448
2007-05-23,354.71,370.0,354.11,360.89,291.3813,3730510,358.56,0.6498
2007-05-24,362.78,362.78,350.0,351.47,283.7756,866870,360.89,-2.6102
2007-05-25,350.0,372.0,345.2,363.33,293.3513,2559305,351.47,3.3744
2007-05-28,368.0,379.6,367.0,369.17,298.0665,2694820,363.33,1.6074
2007-05-29,371.0,374.8,361.22,362.56,292.7297,2318585,369.17,-1.7905
2007-05-30,366.8,372.74,361.02,365.46,295.071,2808680,362.56,0.7999
2007-05-31,364.0,380.4,364.0,376.52,304.0008,2404810,365.46,3.0263
2007-06-01,376.0,379.8,370.26,372.68,300.9004,2262240,376.52,-1.0199
2007-06-04,379.76,384.4,370.27,378.91,305.9306,1677490,372.68,1.6717
2007-06-05,378.6,380.98,370.0,379.53,306.4312,1786595,378.91,0.1636
2007-06-06,383.0,390.91,365.23,366.62,296.0077,2064120,379.53,-3.4016
2007-06-07,364.4,367.94,360.0,363.94,293.8438,1848070,366.62,-0.731
2007-06-08,363.9,363.9,348.0,349.92,282.5242,4107095,363.94,-3.8523
2007-06-11,351.0,363.59,348.42,351.69,283.9533,3076710,349.92,0.5058
2007-06-12,351.76,358.94,346.32,355.89,290.9848,2196185,351.69,1.1942
